album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,,
reputation,FALSE,10/11/2017,7,So It Goes...,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,8,Gorgeous,Taylor Swift,NA,FALSE,20/10/2017,,
reputation,FALSE,10/11/2017,9,Getaway Car,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,10,King Of My Heart,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,11,Dancing With Our Hands Tied,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,12,Dress,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,13,This Is Why We Can't Have Nice Things,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,14,Call It What You Want,Taylor Swift,NA,FALSE,3/11/2017,,
reputation,FALSE,10/11/2017,15,New Year's Day,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,1,I Forgot That You Existed,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,2,Cruel Summer,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,3,Lover,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,4,The Man,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,5,The Archer,Taylor Swift,NA,FALSE,23/7/2019,,
Lover,FALSE,23/8/2019,6,I Think He Knows,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,7,Miss Americana & The Heartbreak Prince,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,8,Paper Rings,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,9,Cornelia Street,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,10,Death By A Thousand Cuts,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,11,London Boy,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,12,Soon You'll Get Better,Taylor Swift,The Chicks,FALSE,NA,,
Lover,FALSE,23/8/2019,13,False God,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,14,You Need To Calm Down,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,15,Afterglow,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,16,ME!,Taylor Swift,"Brendon Urie, Panic! At The Disco",FALSE,NA,,
Lover,FALSE,23/8/2019,17,It's Nice To Have A Friend,Taylor Swift,NA,FALSE,NA,,
Lover,FALSE,23/8/2019,18,Daylight,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,1,the 1,Taylor Swift,NA,FALSE,9/10/2020,,
folklore,FALSE,24/7/2020,2,cardigan,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,3,the last great american dynasty,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,4,exile,Taylor Swift,Bon Iver,FALSE,NA,,
folklore,FALSE,24/7/2020,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,6,mirrorball,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,7,seven,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,8,august,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,9,this is me trying,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,10,illicit affairs,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,11,invisible string,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,12,mad woman,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,13,epiphany,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,14,betty,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,15,peace,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,16,hoax,Taylor Swift,NA,FALSE,NA,,
folklore,FALSE,24/7/2020,17,the lakes,Taylor Swift,NA,TRUE,24/7/2021,,
evermore,FALSE,11/12/2020,1,willow,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,2,champagne problems,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,3,gold rush,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,4,'tis the damn season,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,5,tolerate it,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,6,"no body, no crime",Taylor Swift,HAIM,FALSE,NA,,
evermore,FALSE,11/12/2020,7,happiness,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,8,dorothea,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,9,coney island,Taylor Swift,The National,FALSE,NA,,
evermore,FALSE,11/12/2020,10,ivy,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,11,cowboy like me,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,12,long story short,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,13,marjorie,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,14,closure,Taylor Swift,NA,FALSE,NA,,
evermore,FALSE,11/12/2020,15,evermore,Taylor Swift,Bon Iver,FALSE,NA,,
evermore,FALSE,11/12/2020,16,right where you left me,Taylor Swift,NA,TRUE,NA,,
evermore,FALSE,11/12/2020,17,it's time to go,Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,1,Lavender Haze,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,2,Maroon,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,3,Anti-Hero,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,4,Snow On The Beach,Taylor Swift,Lana Del Rey,FALSE,NA,,
Midnights,FALSE,21/10/2022,5,"You're On Your Own, Kid",Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,6,Midnight Rain,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,7,Question...?,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,8,Vigilante Shit,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,9,Bejeweled,Taylor Swift,NA,FALSE,25/10/2022,,
Midnights,FALSE,21/10/2022,10,Labyrinth,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,11,Karma,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,12,Sweet Nothing,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,13,Mastermind,Taylor Swift,NA,FALSE,NA,,
Midnights,FALSE,21/10/2022,14,The Great War,Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,15,Bigger Than The Whole Sky,Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,16,Paris,Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,17,High Infidelity,Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,18,Glitch,Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,19,"Would've, Could've, Should've",Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,20,Dear Reader,Taylor Swift,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,14,Hits Different,NA,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,15,"You're On Your Own, Kid (Strings Remix)",NA,NA,TRUE,NA,,
Midnights,FALSE,21/10/2022,16,Sweet Nothing (Piano Remix),NA,NA,TRUE,NA,,
